"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig_LFC1","sig_LFC2","sig_LFC3"
"EFNB1",0.132799064788572,7.7826451560679,0.636974587279493,0.527531279629781,0.951720455548197,-4.9330798501727,"Not Significant","Not Significant","Not Significant"
"MTOR",0.116296116734239,7.24979144492526,0.636632847990127,0.52775178097588,0.951720455548197,-4.93321246835761,"Not Significant","Not Significant","Not Significant"
"SLC34A2",0.476490140775095,11.5221384226072,0.636559535046441,0.527799091217417,0.951720455548197,-4.93324090975855,"Not Significant","Not Significant","Not Significant"
"TRAPPC10",0.142715875050629,7.3680643512675,0.636515667438152,0.5278274008925,0.951720455548197,-4.93325792645919,"Not Significant","Not Significant","Not Significant"
"RGS10",0.189248853854598,8.30709192529869,0.636303122944696,0.527964576442882,0.951720455548197,-4.93334035850379,"Not Significant","Not Significant","Not Significant"
"ORC3",-0.263849905161312,9.02606216584843,-0.636061947068244,0.528120253377758,0.951720455548197,-4.93343386231127,"Not Significant","Not Significant","Not Significant"
"CD68",-0.175963132537085,7.61816411940437,-0.635997479978339,0.528161870425905,0.951720455548197,-4.93345885033393,"Not Significant","Not Significant","Not Significant"
"POGZ",-0.196989486381202,8.43290096645679,-0.635766345852136,0.528311094420728,0.951720455548197,-4.93354841972162,"Not Significant","Not Significant","Not Significant"
"ZNF195",-0.293722133015948,8.59506561574047,-0.635470409442746,0.528502188290427,0.951720455548197,-4.93366305508568,"Not Significant","Not Significant","Not Significant"
"GPNMB",-0.413073178909953,9.26546347952625,-0.635443372062462,0.528519648849761,0.951720455548197,-4.93367352582521,"Not Significant","Not Significant","Not Significant"
"TRIM29",0.29297593009838,8.24299858590285,0.635112064366385,0.528733629837412,0.951720455548197,-4.93380179579704,"Not Significant","Not Significant","Not Significant"
"PIGO",0.117497034579525,8.24065701285319,0.6346031047228,0.529062439433802,0.951720455548197,-4.9339987190536,"Not Significant","Not Significant","Not Significant"
"AVPR1B",0.110285933799287,7.70975217559307,0.634313220616173,0.529249765044023,0.951720455548197,-4.93411081034371,"Not Significant","Not Significant","Not Significant"
"TNFRSF10B",-0.152714691696114,8.19536855404504,-0.634232305280433,0.529302059467089,0.951720455548197,-4.93414208947488,"Not Significant","Not Significant","Not Significant"
"CTSV",-0.438612859360436,9.26649235758627,-0.633875601717535,0.529532624305866,0.951720455548197,-4.93427993267274,"Not Significant","Not Significant","Not Significant"
"ZNF692",0.179642276598424,9.34013577579361,0.633770957174436,0.52960027411955,0.951720455548197,-4.93432035679138,"Not Significant","Not Significant","Not Significant"
"MAU2",0.0819419658217514,7.21931778451142,0.633169906761585,0.529988924734135,0.951720455548197,-4.93455241627299,"Not Significant","Not Significant","Not Significant"
"RTN4",-0.152245260347659,10.3337112018026,-0.633152795139851,0.52999999162999,0.951720455548197,-4.93455901975715,"Not Significant","Not Significant","Not Significant"
"ZNRD2",-0.179152559462939,9.00723067435398,-0.632924650045447,0.530147555477534,0.951720455548197,-4.93464704579711,"Not Significant","Not Significant","Not Significant"
"INSIG2",-0.185379276694925,8.22517133617935,-0.632890070030211,0.530169923656456,0.951720455548197,-4.93466038523153,"Not Significant","Not Significant","Not Significant"
"TRMT2A",-0.128187338941805,8.23113615238799,-0.632662472837305,0.530317157915948,0.951720455548197,-4.93474816440917,"Not Significant","Not Significant","Not Significant"
"FLII",0.128174296547779,8.73664900853968,0.632466472490932,0.53044396917552,0.951720455548197,-4.93482373273879,"Not Significant","Not Significant","Not Significant"
"EIF4G3",0.134421866705568,6.73004764559103,0.632112348778952,0.53067312588704,0.951720455548197,-4.93496020801814,"Not Significant","Not Significant","Not Significant"
"TPRA1",0.21126364481931,8.58794737360703,0.631915444015149,0.530800567273548,0.951720455548197,-4.9350360606792,"Not Significant","Not Significant","Not Significant"
"DDX19A",0.136854355827654,7.05648001902981,0.631867049683352,0.530831891682975,0.951720455548197,-4.93505469986709,"Not Significant","Not Significant","Not Significant"
"SLC25A1",-0.217607566922998,9.76276384669718,-0.631584083739185,0.531015067718817,0.951720455548197,-4.93516365701189,"Not Significant","Not Significant","Not Significant"
"ARAP1",0.104940317378405,8.25795810377574,0.631327615726995,0.531181119180555,0.951720455548197,-4.9352623699491,"Not Significant","Not Significant","Not Significant"
"TMEM204",0.103929351358633,7.65331059863726,0.631326695323096,0.531181715149634,0.951720455548197,-4.93526272413648,"Not Significant","Not Significant","Not Significant"
"MEF2D",0.0991275621172981,7.4912707873666,0.631237544131893,0.53123944294177,0.951720455548197,-4.93529702867646,"Not Significant","Not Significant","Not Significant"
"CNTNAP1",0.118870047394866,7.70729305471003,0.631107950496643,0.531323364177489,0.951720455548197,-4.93534688667175,"Not Significant","Not Significant","Not Significant"
"CNP",0.109969319481542,9.14711563739404,0.631052105404094,0.531359530052775,0.951720455548197,-4.93536836863636,"Not Significant","Not Significant","Not Significant"
"C1orf159",0.139786769654317,7.96019692856589,0.63102383028045,0.531377841816066,0.951720455548197,-4.93537924453859,"Not Significant","Not Significant","Not Significant"
"BABAM1",0.191067370893853,10.2497144344745,0.630881637990307,0.53146993455388,0.951720455548197,-4.9354339309819,"Not Significant","Not Significant","Not Significant"
"GOLPH3",-0.122753519903215,11.0954799773377,-0.630819465090092,0.531510204296107,0.951720455548197,-4.93545783859553,"Not Significant","Not Significant","Not Significant"
"TDRD3",0.144951676337506,6.93887916915643,0.630760083302524,0.531548667713924,0.951720455548197,-4.93548067078731,"Not Significant","Not Significant","Not Significant"
"CSTA",0.355174115088043,8.15009905716851,0.629905858336525,0.53210213721794,0.95197250046787,-4.93580888703012,"Not Significant","Not Significant","Not Significant"
"PTEN",-0.254842735187463,8.29418320628319,-0.629604872291045,0.532297224094626,0.95197250046787,-4.93592443072526,"Not Significant","Not Significant","Not Significant"
"PRKAR1B",0.166236706554983,7.8064380699048,0.629371645314306,0.532448418087179,0.95197250046787,-4.93601392580484,"Not Significant","Not Significant","Not Significant"
"NOP2",0.198202738875314,10.0093071255307,0.629264127435796,0.532518126253863,0.95197250046787,-4.93605517224934,"Not Significant","Not Significant","Not Significant"
"ZFP36",0.313376805565503,10.5517110157609,0.629147478730961,0.532593759711384,0.95197250046787,-4.9360999137327,"Not Significant","Not Significant","Not Significant"
"SLC12A7",-0.142140556374748,10.500270398814,-0.628974077869711,0.532706200908821,0.95197250046787,-4.93616640799319,"Not Significant","Not Significant","Not Significant"
"ARHGEF2",-0.129729127553987,8.37318606742927,-0.628952677493923,0.53272007877167,0.95197250046787,-4.93617461318584,"Not Significant","Not Significant","Not Significant"
"DCTN6",0.20073454649823,10.1551596724659,0.628904708298534,0.53275118685345,0.95197250046787,-4.93619300423392,"Not Significant","Not Significant","Not Significant"
"GTPBP3",0.137769376309907,8.34347852606238,0.628724373296369,0.532868142835476,0.95197250046787,-4.93626213116238,"Not Significant","Not Significant","Not Significant"
"CDHR2",0.0813390830637671,7.25512876999323,0.627754210473737,0.533497571112332,0.95197250046787,-4.93663368738301,"Not Significant","Not Significant","Not Significant"
"NLE1",0.123927232166969,7.82949102870959,0.627571011535104,0.533616471715508,0.95197250046787,-4.93670378676789,"Not Significant","Not Significant","Not Significant"
