"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","significance"
"ENSG00000279839",10.9078191050875,-0.41117597387383,0.62046583312836,-0.662689147282615,0.507529661880531,0.977212416394775,"ENSG00000279839","Not Significant"
"ENSG00000272235",1.40686286572896,-0.6187234756223,0.666753231146065,-0.927964720259087,0.353425870366593,NA,"ENSG00000272235","Not Significant"
"ENSG00000130762",110.795749401142,0.413121300444553,0.388450718513978,1.06351019770269,0.287550643084383,0.929735569982054,"ARHGEF16","Not Significant"
"ENSG00000272088",1.75772733660429,-0.315940699054306,0.687281193967737,-0.459696412221542,0.645734145125952,NA,"ENSG00000272088","Not Significant"
"ENSG00000162591",343.096022677867,0.248007896980107,0.342453899472279,0.724208126589554,0.468937970179955,0.970910519202027,"MEGF6","Not Significant"
"ENSG00000207776",0.543139817516774,-1.45061715523405,1.04041561963187,-1.39426699086593,0.163236994944415,NA,"MIR551A","Not Significant"
"ENSG00000238260",3.98109207443269,0.29438222020613,0.466268340493447,0.631357942712962,0.527806508749919,0.979846821054155,"ENSG00000238260","Not Significant"
"ENSG00000158109",238.239419074852,-0.236164031191754,0.236854474730416,-0.997084946191338,0.318723279379787,0.941575288705323,"TPRG1L","Not Significant"
"ENSG00000116213",144.22172022159,0.213966903560699,0.223668869932295,0.956623528457344,0.338757308719237,0.945924592919799,"WRAP73","Not Significant"
"ENSG00000078900",116.42036098837,0.80619642936693,0.526772891543891,1.53044403443786,0.125906856376652,0.782393378767126,"TP73","Not Significant"
"ENSG00000227589",0.310434432985475,-1.50943602096979,1.19677806655798,-1.26124973639518,0.207218884314898,NA,"ENSG00000227589","Not Significant"
"ENSG00000235131",0.0525322430622187,0.00668661760262575,2.78880982322122,0.0023976599433024,0.998086945982136,NA,"ENSG00000235131","Not Significant"
"ENSG00000227372",367.099044895433,-0.32979495919448,0.268223303696691,-1.22955371382427,0.218864271880778,0.892046243560867,"TP73-AS1","Not Significant"
"ENSG00000276189",0.0787934139310732,-0.403482159744949,2.72326193745813,-0.148161348049228,0.882215434881976,NA,"ENSG00000276189","Not Significant"
"ENSG00000162592",0.23557462889921,-1.51211099056435,1.26958991626389,-1.19102315731535,0.23364449406085,NA,"CCDC27","Not Significant"
"ENSG00000235169",5.38464148368997,-0.133292541141083,0.446884661155527,-0.298270566719437,0.765496666797516,0.993996023036238,"SMIM1","Not Significant"
"ENSG00000130764",293.332360183402,-0.38028066908251,0.222083621804148,-1.7123309949343,0.0868356878238804,0.70121711386466,"LRRC47","Not Significant"
"ENSG00000266075",1.02535429763108,-1.77969055318538,0.787115026764512,-2.26102982749664,0.0237574100948605,NA,"RN7SL574P","Not Significant"
"ENSG00000272153",1.36444787021319,-0.708842995034798,0.653575947572277,-1.08456101799311,0.278116128143776,NA,"ENSG00000272153","Not Significant"
"ENSG00000116198",393.744185618488,-0.03828607620861,0.166044930353843,-0.23057660433849,0.817643744913931,0.996435111175685,"CEP104","Not Significant"
"ENSG00000169598",57.9642723005513,-0.149777054985976,0.263408089484823,-0.568612206553381,0.5696193391792,0.980084701671367,"DFFB","Not Significant"
"ENSG00000198912",117.7903142835,-0.0492003793098779,0.237288024975786,-0.207344552321587,0.835740782349468,0.996435111175685,"C1orf174","Not Significant"
